KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	Schreiber1_000

MEASUREMENT
Mode	ConstantHead
Sample rate [s]	1
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
3/29/2016 10:40:40 AM	370.58	4.300	21.140
3/29/2016 10:40:42 AM	372.22	4.314	21.140
3/29/2016 10:40:43 AM	373.95	4.305	21.140
3/29/2016 10:40:45 AM	375.65	4.548	21.140
3/29/2016 10:40:47 AM	377.46	4.577	21.140
3/29/2016 10:40:48 AM	379.13	4.566	21.140
3/29/2016 10:40:50 AM	380.80	4.437	21.140
3/29/2016 10:40:52 AM	382.50	4.334	21.140
3/29/2016 10:40:54 AM	384.24	4.346	21.140
3/29/2016 10:40:55 AM	385.91	4.321	21.140
3/29/2016 10:40:57 AM	387.64	4.423	21.140
3/29/2016 10:40:59 AM	389.31	4.504	21.140
3/29/2016 10:41:00 AM	390.98	4.503	21.150
3/29/2016 10:41:02 AM	392.65	4.474	21.150
3/29/2016 10:41:04 AM	394.38	4.396	21.150
3/29/2016 10:41:05 AM	396.07	4.399	21.150
3/29/2016 10:41:07 AM	397.74	4.307	21.150
3/29/2016 10:41:09 AM	399.47	4.331	21.150
3/29/2016 10:41:11 AM	401.20	4.536	21.150
3/29/2016 10:41:12 AM	402.96	4.542	21.150
3/29/2016 10:41:14 AM	404.91	4.548	21.150
3/29/2016 10:41:16 AM	406.63	4.580	21.150
3/29/2016 10:41:18 AM	408.27	4.423	21.150
3/29/2016 10:41:19 AM	409.98	4.426	21.150
3/29/2016 10:41:21 AM	411.71	4.305	21.150
3/29/2016 10:41:23 AM	413.54	4.299	21.150
3/29/2016 10:41:25 AM	415.24	4.301	21.150
3/29/2016 10:41:26 AM	416.97	4.517	21.150
3/29/2016 10:41:28 AM	418.73	4.569	21.150
3/29/2016 10:41:30 AM	420.44	4.560	21.150
3/29/2016 10:41:32 AM	422.20	4.438	21.160
3/29/2016 10:41:33 AM	423.91	4.442	21.160
